year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2019,25-Jan-19,7,739.114,47
2019,25-Jan-19,8,648.92,46
2019,25-Jan-19,9,513.728,47
2019,25-Jan-19,10,475.697,49
2019,25-Jan-19,11,429.222,47
2019,25-Jan-19,12,492.891,51
2019,25-Jan-19,13,581.99,50
2019,25-Jan-19,14,577.492,53
2019,25-Jan-19,15,569.276,54
2019,25-Jan-19,16,539.31,58
2019,25-Jan-19,17,538.808,57
2019,25-Jan-19,18,618.229,56
2019,25-Jan-19,19,738.624,56
2019,25-Jan-19,20,806.376,55
2019,25-Jan-19,21,824.042,55
2019,25-Jan-19,22,811.614,52
2019,25-Jan-19,23,827.896,51
2019,25-Jan-19,24,724.002,51
2019,26-Jan-19,1,554.679,49
2019,26-Jan-19,2,402.704,47
2019,26-Jan-19,3,319.856,44
2019,26-Jan-19,4,280.286,40
2019,26-Jan-19,5,219.883,43
2019,26-Jan-19,6,188.666,46
2019,26-Jan-19,7,156.105,46
2019,26-Jan-19,8,127.629,43
2019,26-Jan-19,9,98.64,43
2019,26-Jan-19,10,70.608,43
2019,26-Jan-19,11,70.478,43
2019,26-Jan-19,12,62.407,47
2019,26-Jan-19,13,59.041,50
2019,26-Jan-19,14,83.627,52
2019,26-Jan-19,15,70.694,51
2019,26-Jan-19,16,61.965,45
2019,26-Jan-19,17,35.756,41
2019,26-Jan-19,18,39.686,40
2019,26-Jan-19,19,44.105,42
2019,26-Jan-19,20,54.572,41
2019,26-Jan-19,21,52.838,38
2019,26-Jan-19,22,47.79,33
2019,26-Jan-19,23,61.153,28
2019,26-Jan-19,24,93.392,33
2019,27-Jan-19,1,127.443,33
2019,27-Jan-19,2,200.064,37
2019,27-Jan-19,3,312.27,40
2019,27-Jan-19,4,403.842,44
2019,27-Jan-19,5,422.578,45
2019,27-Jan-19,6,426.723,49
2019,27-Jan-19,7,453.103,50
2019,27-Jan-19,8,512.696,52
2019,27-Jan-19,9,628.097,52
2019,27-Jan-19,10,684.268,55
2019,27-Jan-19,11,686.867,58
2019,27-Jan-19,12,784.908,60
2019,27-Jan-19,13,766.74,61
2019,27-Jan-19,14,811.391,60
2019,27-Jan-19,15,764.453,60
2019,27-Jan-19,16,737.704,56
2019,27-Jan-19,17,709.273,55
2019,27-Jan-19,18,743.298,56
2019,27-Jan-19,19,867.217,55
2019,27-Jan-19,20,881.689,55
2019,27-Jan-19,21,795.148,54
2019,27-Jan-19,22,697.027,54
2019,27-Jan-19,23,575.965,54
2019,27-Jan-19,24,529.696,54
2019,28-Jan-19,1,469.567,54
2019,28-Jan-19,2,642.014,54
2019,28-Jan-19,3,592.955,51
2019,28-Jan-19,4,438.439,53
2019,28-Jan-19,5,567.425,54
2019,28-Jan-19,6,703.316,52
2019,28-Jan-19,7,583.788,51
2019,28-Jan-19,8,633.816,52
2019,28-Jan-19,9,662.173,53
2019,28-Jan-19,10,663.286,55
2019,28-Jan-19,11,592.678,52
2019,28-Jan-19,12,555.199,51
2019,28-Jan-19,13,562.288,50
2019,28-Jan-19,14,489.651,51
2019,28-Jan-19,15,366.94,47
2019,28-Jan-19,16,387.913,46
2019,28-Jan-19,17,312.337,47
2019,28-Jan-19,18,217.241,48
2019,28-Jan-19,19,205.156,46
2019,28-Jan-19,20,255.301,48
2019,28-Jan-19,21,205.75,49
2019,28-Jan-19,22,214.919,52
2019,28-Jan-19,23,197.284,53
2019,28-Jan-19,24,233.858,54
2019,29-Jan-19,1,370.955,57
2019,29-Jan-19,2,462.304,57
2019,29-Jan-19,3,448.955,59
2019,29-Jan-19,4,425.293,57
2019,29-Jan-19,5,448.191,56
2019,29-Jan-19,6,466.516,52
2019,29-Jan-19,7,447.712,53
2019,29-Jan-19,8,456.021,54
2019,29-Jan-19,9,349.869,57
2019,29-Jan-19,10,303.263,51
2019,29-Jan-19,11,268.811,47
2019,29-Jan-19,12,229.17,51
2019,29-Jan-19,13,225.325,47
2019,29-Jan-19,14,214.455,50
2019,29-Jan-19,15,242.977,54
2019,29-Jan-19,16,271.573,53
2019,29-Jan-19,17,339.76,55
2019,29-Jan-19,18,441.837,57
2019,29-Jan-19,19,550.446,55
2019,29-Jan-19,20,607.109,56
2019,29-Jan-19,21,602.837,56
2019,29-Jan-19,22,591.578,56
2019,29-Jan-19,23,583.45,55
2019,29-Jan-19,24,629.118,56
2019,30-Jan-19,1,609.256,56
2019,30-Jan-19,2,557.887,52
2019,30-Jan-19,3,633.853,53
2019,30-Jan-19,4,536.377,53
2019,30-Jan-19,5,568.574,53
2019,30-Jan-19,6,484.615,54
2019,30-Jan-19,7,564.408,55
2019,30-Jan-19,8,514.435,55
2019,30-Jan-19,9,428.468,58
2019,30-Jan-19,10,425.686,58
2019,30-Jan-19,11,497.342,57
2019,30-Jan-19,12,575.782,57
2019,30-Jan-19,13,590.967,60
2019,30-Jan-19,14,505.668,58
2019,30-Jan-19,15,492.621,58
2019,30-Jan-19,16,631.035,62
2019,30-Jan-19,17,558.594,63
2019,30-Jan-19,18,490.75,59
2019,30-Jan-19,19,414.791,57
2019,30-Jan-19,20,493.369,55
2019,30-Jan-19,21,547.963,55
2019,30-Jan-19,22,742.145,55
2019,30-Jan-19,23,747.348,53
2019,30-Jan-19,24,803.891,55
2019,31-Jan-19,1,849.95,55
2019,31-Jan-19,2,822.481,54
2019,31-Jan-19,3,760.491,53
2019,31-Jan-19,4,713.274,51
2019,31-Jan-19,5,685.832,49
2019,31-Jan-19,6,707.237,49
2019,31-Jan-19,7,670.747,47
2019,31-Jan-19,8,691.845,48
2019,31-Jan-19,9,647.701,49
2019,31-Jan-19,10,633.385,49
