year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2019,18-Jan-19,10,144.563,767
2019,18-Jan-19,11,217.297,814
2019,18-Jan-19,12,313.686,894
2019,18-Jan-19,13,342.532,911
2019,18-Jan-19,14,292.978,885
2019,18-Jan-19,15,166.383,794
2019,18-Jan-19,16,73.122,714
2019,18-Jan-19,17,5.545,449
2019,18-Jan-19,18,,
2019,18-Jan-19,19,,
2019,18-Jan-19,20,,
2019,18-Jan-19,21,,
2019,18-Jan-19,22,,
2019,18-Jan-19,23,,
2019,18-Jan-19,24,,
2019,19-Jan-19,1,,
2019,19-Jan-19,2,,
2019,19-Jan-19,3,,
2019,19-Jan-19,4,,
2019,19-Jan-19,5,,
2019,19-Jan-19,6,,
2019,19-Jan-19,7,1.049,10
2019,19-Jan-19,8,24.125,686
2019,19-Jan-19,9,169.211,839
2019,19-Jan-19,10,378.014,997
2019,19-Jan-19,11,411.159,1008
2019,19-Jan-19,12,303.139,988
2019,19-Jan-19,13,296.856,968
2019,19-Jan-19,14,182.806,887
2019,19-Jan-19,15,71.273,776
2019,19-Jan-19,16,18.884,656
2019,19-Jan-19,17,1.536,93
2019,19-Jan-19,18,,
2019,19-Jan-19,19,,
2019,19-Jan-19,20,,
2019,19-Jan-19,21,,
2019,19-Jan-19,22,,
2019,19-Jan-19,23,,
2019,19-Jan-19,24,,
2019,20-Jan-19,1,,
2019,20-Jan-19,2,,
2019,20-Jan-19,3,,
2019,20-Jan-19,4,,
2019,20-Jan-19,5,,
2019,20-Jan-19,6,,
2019,20-Jan-19,7,2.3,9
2019,20-Jan-19,8,2.222,18
2019,20-Jan-19,9,4.285,132
2019,20-Jan-19,10,8.98,240
2019,20-Jan-19,11,15.462,287
2019,20-Jan-19,12,16.195,273
2019,20-Jan-19,13,17.588,267
2019,20-Jan-19,14,15.597,267
2019,20-Jan-19,15,10.785,243
2019,20-Jan-19,16,7.925,221
2019,20-Jan-19,17,3.695,140
2019,20-Jan-19,18,,
2019,20-Jan-19,19,,
2019,20-Jan-19,20,,
2019,20-Jan-19,21,,
2019,20-Jan-19,22,,
2019,20-Jan-19,23,,
2019,20-Jan-19,24,,
2019,21-Jan-19,1,,
2019,21-Jan-19,2,,
2019,21-Jan-19,3,,
2019,21-Jan-19,4,,
2019,21-Jan-19,5,,
2019,21-Jan-19,6,,
2019,21-Jan-19,7,0.134,7
2019,21-Jan-19,8,10.203,237
2019,21-Jan-19,9,76.438,392
2019,21-Jan-19,10,166.293,500
2019,21-Jan-19,11,209.477,564
2019,21-Jan-19,12,210.127,584
2019,21-Jan-19,13,188.873,573
2019,21-Jan-19,14,145.304,504
2019,21-Jan-19,15,83.198,432
2019,21-Jan-19,16,31.126,348
2019,21-Jan-19,17,5.237,214
2019,21-Jan-19,18,,
2019,21-Jan-19,19,,
2019,21-Jan-19,20,,
2019,21-Jan-19,21,,
2019,21-Jan-19,22,,
2019,21-Jan-19,23,,
2019,21-Jan-19,24,,
2019,22-Jan-19,1,,
2019,22-Jan-19,2,,
2019,22-Jan-19,3,,
2019,22-Jan-19,4,,
2019,22-Jan-19,5,,
2019,22-Jan-19,6,,
2019,22-Jan-19,7,2.064,9
2019,22-Jan-19,8,12.659,248
2019,22-Jan-19,9,87.267,421
2019,22-Jan-19,10,193.659,568
2019,22-Jan-19,11,261.226,643
2019,22-Jan-19,12,296.22,669
2019,22-Jan-19,13,313.144,681
2019,22-Jan-19,14,291.951,666
2019,22-Jan-19,15,214.274,620
2019,22-Jan-19,16,86.544,506
2019,22-Jan-19,17,7.053,296
2019,22-Jan-19,18,,
2019,22-Jan-19,19,,
2019,22-Jan-19,20,,
2019,22-Jan-19,21,,
2019,22-Jan-19,22,,
2019,22-Jan-19,23,,
2019,22-Jan-19,24,,
2019,23-Jan-19,1,,
2019,23-Jan-19,2,,
2019,23-Jan-19,3,,
2019,23-Jan-19,4,,
2019,23-Jan-19,5,,
2019,23-Jan-19,6,,
2019,23-Jan-19,7,1.822,9
2019,23-Jan-19,8,7.037,270
2019,23-Jan-19,9,31.093,384
2019,23-Jan-19,10,52.245,432
2019,23-Jan-19,11,77.123,513
2019,23-Jan-19,12,88.995,574
2019,23-Jan-19,13,108.632,606
2019,23-Jan-19,14,80.638,605
2019,23-Jan-19,15,44.761,573
2019,23-Jan-19,16,17.249,522
2019,23-Jan-19,17,3.2,190
2019,23-Jan-19,18,,
2019,23-Jan-19,19,,
2019,23-Jan-19,20,,
2019,23-Jan-19,21,,
2019,23-Jan-19,22,,
2019,23-Jan-19,23,,
2019,23-Jan-19,24,,
2019,24-Jan-19,1,,
2019,24-Jan-19,2,,
2019,24-Jan-19,3,,
2019,24-Jan-19,4,,
2019,24-Jan-19,5,,
2019,24-Jan-19,6,,
2019,24-Jan-19,7,2.465,9
2019,24-Jan-19,8,5.084,299
2019,24-Jan-19,9,31.931,687
2019,24-Jan-19,10,47.341,704
2019,24-Jan-19,11,69.444,711
2019,24-Jan-19,12,51.976,709
2019,24-Jan-19,13,41.099,699
2019,24-Jan-19,14,31.398,695
2019,24-Jan-19,15,17.049,653
2019,24-Jan-19,16,7.663,474
2019,24-Jan-19,17,2.478,46
2019,24-Jan-19,18,,
2019,24-Jan-19,19,,
2019,24-Jan-19,20,,
2019,24-Jan-19,21,,
2019,24-Jan-19,22,,
2019,24-Jan-19,23,,
2019,24-Jan-19,24,,
2019,25-Jan-19,1,,
2019,25-Jan-19,2,,
2019,25-Jan-19,3,,
2019,25-Jan-19,4,,
2019,25-Jan-19,5,,
2019,25-Jan-19,6,,
2019,25-Jan-19,7,1.561,9
2019,25-Jan-19,8,19.142,598
2019,25-Jan-19,9,157.939,744
2019,25-Jan-19,10,452.09,897
2019,25-Jan-19,11,577.825,965
2019,25-Jan-19,12,510.729,969
2019,25-Jan-19,13,476.598,953
2019,25-Jan-19,14,473.452,945
2019,25-Jan-19,15,361.69,885
2019,25-Jan-19,16,159.348,764
2019,25-Jan-19,17,24.698,695
2019,25-Jan-19,18,,
2019,25-Jan-19,19,,
2019,25-Jan-19,20,,
2019,25-Jan-19,21,,
2019,25-Jan-19,22,,
2019,25-Jan-19,23,,
2019,25-Jan-19,24,,
2019,26-Jan-19,1,,
2019,26-Jan-19,2,,
2019,26-Jan-19,3,,
2019,26-Jan-19,4,,
2019,26-Jan-19,5,,
2019,26-Jan-19,6,,
2019,26-Jan-19,7,1.312,8
2019,26-Jan-19,8,31.989,710
2019,26-Jan-19,9,226.093,882
2019,26-Jan-19,10,532.642,1036
2019,26-Jan-19,11,731.633,1095
2019,26-Jan-19,12,794.048,1111
2019,26-Jan-19,13,755.686,1108
2019,26-Jan-19,14,650.417,1088
2019,26-Jan-19,15,485.442,1033
2019,26-Jan-19,16,225.325,880
2019,26-Jan-19,17,27.407,710
2019,26-Jan-19,18,,
2019,26-Jan-19,19,,
2019,26-Jan-19,20,,
2019,26-Jan-19,21,,
2019,26-Jan-19,22,,
2019,26-Jan-19,23,,
2019,26-Jan-19,24,,
2019,27-Jan-19,1,,
2019,27-Jan-19,2,,
2019,27-Jan-19,3,,
2019,27-Jan-19,4,,
2019,27-Jan-19,5,,
2019,27-Jan-19,6,,
2019,27-Jan-19,7,1.776,11
2019,27-Jan-19,8,37.021,719
2019,27-Jan-19,9,188.368,927
2019,27-Jan-19,10,387.338,1031
2019,27-Jan-19,11,551.235,1078
2019,27-Jan-19,12,649.897,1095
2019,27-Jan-19,13,497.098,1084
2019,27-Jan-19,14,342.786,1032
2019,27-Jan-19,15,306.715,996
2019,27-Jan-19,16,115.356,829
2019,27-Jan-19,17,14.917,662
2019,27-Jan-19,18,,
2019,27-Jan-19,19,,
2019,27-Jan-19,20,,
2019,27-Jan-19,21,,
2019,27-Jan-19,22,,
2019,27-Jan-19,23,,
2019,27-Jan-19,24,,
2019,28-Jan-19,1,,
2019,28-Jan-19,2,,
2019,28-Jan-19,3,,
2019,28-Jan-19,4,,
2019,28-Jan-19,5,,
2019,28-Jan-19,6,,
2019,28-Jan-19,7,1.398,9
2019,28-Jan-19,8,21.91,685
2019,28-Jan-19,9,142.506,758
2019,28-Jan-19,10,463.47,908
2019,28-Jan-19,11,615.195,986
2019,28-Jan-19,12,735.788,1032
2019,28-Jan-19,13,694.394,1031
2019,28-Jan-19,14,567.632,982
2019,28-Jan-19,15,340.221,882
2019,28-Jan-19,16,146.163,761
2019,28-Jan-19,17,32.299,705
2019,28-Jan-19,18,,
2019,28-Jan-19,19,,
2019,28-Jan-19,20,,
2019,28-Jan-19,21,,
2019,28-Jan-19,22,,
2019,28-Jan-19,23,,
2019,28-Jan-19,24,,
2019,29-Jan-19,1,,
2019,29-Jan-19,2,,
2019,29-Jan-19,3,,
2019,29-Jan-19,4,,
2019,29-Jan-19,5,,
2019,29-Jan-19,6,,
2019,29-Jan-19,7,1.476,15
2019,29-Jan-19,8,29.584,693
2019,29-Jan-19,9,125.011,743
2019,29-Jan-19,10,190.263,786
2019,29-Jan-19,11,252.831,827
2019,29-Jan-19,12,273.33,809
2019,29-Jan-19,13,207.878,780
2019,29-Jan-19,14,172.896,755
2019,29-Jan-19,15,111.431,736
2019,29-Jan-19,16,53.321,699
2019,29-Jan-19,17,9.813,583
2019,29-Jan-19,18,,
2019,29-Jan-19,19,,
2019,29-Jan-19,20,,
2019,29-Jan-19,21,,
2019,29-Jan-19,22,,
2019,29-Jan-19,23,,
2019,29-Jan-19,24,,
2019,30-Jan-19,1,,
2019,30-Jan-19,2,,
2019,30-Jan-19,3,,
2019,30-Jan-19,4,,
2019,30-Jan-19,5,,
2019,30-Jan-19,6,,
2019,30-Jan-19,7,1.512,9
2019,30-Jan-19,8,10.373,300
2019,30-Jan-19,9,65.615,554
2019,30-Jan-19,10,195.004,773
2019,30-Jan-19,11,319.933,845
2019,30-Jan-19,12,397.797,873
2019,30-Jan-19,13,420.039,886
2019,30-Jan-19,14,400.937,872
2019,30-Jan-19,15,314.487,822
2019,30-Jan-19,16,143.59,682
2019,30-Jan-19,17,17.248,414
2019,30-Jan-19,18,,
2019,30-Jan-19,19,,
2019,30-Jan-19,20,,
2019,30-Jan-19,21,,
2019,30-Jan-19,22,,
2019,30-Jan-19,23,,
2019,30-Jan-19,24,,
2019,31-Jan-19,1,,
2019,31-Jan-19,2,,
2019,31-Jan-19,3,,
2019,31-Jan-19,4,,
2019,31-Jan-19,5,,
2019,31-Jan-19,6,,
2019,31-Jan-19,7,0.995,13
2019,31-Jan-19,8,22.511,431
2019,31-Jan-19,9,150.789,685
2019,31-Jan-19,10,313.81,812
2019,31-Jan-19,11,411.786,860
2019,31-Jan-19,12,456.158,887
2019,31-Jan-19,13,465.98,890
2019,31-Jan-19,14,434.113,883
2019,31-Jan-19,15,337.271,835
2019,31-Jan-19,16,167.55,722
2019,31-Jan-19,17,24.35,508
2019,31-Jan-19,18,0.476,11
2019,31-Jan-19,19,,
2019,31-Jan-19,20,,
2019,31-Jan-19,21,,
2019,31-Jan-19,22,,
2019,31-Jan-19,23,,
2019,31-Jan-19,24,,
2019,1-Feb-19,1,,
2019,1-Feb-19,2,,
2019,1-Feb-19,3,,
2019,1-Feb-19,4,,
2019,1-Feb-19,5,,
2019,1-Feb-19,6,,
2019,1-Feb-19,7,1.189,11
2019,1-Feb-19,8,27.382,488
2019,1-Feb-19,9,169.472,720
2019,1-Feb-19,10,313.928,837
2019,1-Feb-19,11,392.476,880
2019,1-Feb-19,12,409.703,899
